 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6464 (Press CTRL+C to quit)
127.0.0.1 - - [04/Jul/2022 04:20:24] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:24] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:24] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:24] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2022 04:20:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:26] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:20:31] "GET /favicon.ico HTTP/1.1" 404 -
